,Analysis,Polarity,Profanity,Subjectivity,author id,compound,for,id,neg,neu,pos,text,type,Gender,Activist
0,Positive,0.4000000000000001,False,0.9,108189187,0.7574,2825591395,1512218525061947395,0.0,0.316,0.684, Coolest beans! Huge congratulations,Mention,Female,True
1,Neutral,0.0,False,0.0,1000455440046571520,0.6688,2825591395,1512218337522057216,0.0,0.572,0.428, 🎉🎉🥰🥰 Congratulations. Go get ‘em!! 🤩🤩,Mention,Female,True
2,Neutral,0.0,False,0.0,132512775,0.0,2825591395,1512217687954440197,0.0,1.0,0.0, woweee!!!!!! congratulations!!!!,Mention,Female,True
3,Neutral,0.0,False,0.0,3434993711,0.6458,2825591395,1512216657065775104,0.0,0.319,0.681, Congrats!!! ❤️🔥❤️🔥,Mention,Female,True
4,Neutral,0.0,False,0.0,472119021,0.636,2825591395,1512214035294560260,0.0,0.544,0.456,"Congratulations ,  &amp; ! https://t.co/6dmSmPSYLI",Mention,Female,True
5,Positive,1.0,False,1.0,2394369259,0.6467,2825591395,1512211932174069767,0.0,0.539,0.461,    Excellent news!!👏🏿👏🏿,Mention,Female,True
6,Neutral,0.0,False,0.0,1966127287,0.8011,2825591395,1512211357059489793,0.0,0.295,0.705," Yes!! Dr. Blain, Congratulations 👏",Mention,Female,True
7,Neutral,0.0,False,0.0,1702425324,0.0,2825591395,1512211004926697479,0.0,1.0,0.0, Congratulations!🎊,Mention,Female,True
8,Neutral,0.0,False,0.0,2790500587,0.6688,2825591395,1512210795991601152,0.0,0.182,0.818, Congratulations!!,Mention,Female,True
9,Neutral,0.0,False,0.0,374243953,0.6103,2825591395,1512210222709936129,0.0,0.334,0.666, Congrats!! 🎉🌟🙌🏽,Mention,Female,True
10,Neutral,0.0,False,0.0,37119608,0.5994,2825591395,1512209927024095232,0.0,0.204,0.796, Congratulations,Mention,Female,True
11,Positive,0.9375,False,0.6,21972744,0.7081,2825591395,1512209610446458881,0.0,0.254,0.746,  Warm congrats!!,Mention,Female,True
12,Neutral,0.0,False,0.0,2513822461,0.0,2825591395,1512207853544648719,0.0,1.0,0.0, Huzzah Dr. Blain!!!,Mention,Female,True
13,Neutral,0.0,False,0.0,37119608,0.6688,2825591395,1512207341139148801,0.0,0.182,0.818, Congratulations!!,Mention,Female,True
14,Neutral,0.0,False,0.0,3091472429,0.6688,2825591395,1512207055079235595,0.0,0.308,0.692, Congratulations Keisha!!,Mention,Female,True
15,Neutral,0.0,False,0.0,371977440,0.7639,2825591395,1512206641663512587,0.0,0.313,0.687, Congratulations! So well deserved.,Mention,Female,True
16,Positive,1.0,False,1.0,80944765,0.6688,2825591395,1512206294752677896,0.0,0.182,0.818, Beautiful!!,Mention,Female,True
17,Neutral,0.0,False,0.0,4252943782,0.4199,2825591395,1512206082160087043,0.0,0.518,0.482,_NataliaM  Thank you!,Mention,Female,True
18,Positive,0.625,False,0.9,785537265057488896,0.8647,2825591395,1512206080482369537,0.0,0.257,0.743," Congratulations, Keisha!! Fantastic news!!",Mention,Female,True
19,Neutral,0.0,False,0.0,1184514495869259777,0.6239,2825591395,1512206066402181120,0.0,0.859,0.141,Honored to have had  as our keynote speaker for Trotter150 Reimagining Our Radical Roots: A Classroom of Global Activism at the  JFK Jr. Forum! https://t.co/uDmwCs9ryv,Mention,Female,True
