,Analysis,Polarity,Profanity,Subjectivity,author id,compound,for,id,neg,neu,pos,text,type,Gender,Activist
0,Neutral,0.0,False,0.0,435281513,0.0,738392410288447488,1475617040165752833,0.0,1.0,0.0, bUt COvId dOeSn't AFfecT ChIlDrEN,Mention,Female,False
1,Negative,-0.2916666666666667,False,0.5416666666666666,304128769,-0.0258,738392410288447488,1475616428707532800,0.149,0.747,0.104," Thank you, Doctor, for your hard work and dedication. Can I ask how the children are faring? Worried about my 2 kiddos.",Mention,Female,False
2,Neutral,0.0,False,0.0,962235107292729345,0.0,738392410288447488,1475616364752683010,0.0,1.0,0.0, bootlicker,Mention,Female,False
3,Neutral,0.0,False,0.0,1386700512893018114,0.357,738392410288447488,1475616215167025154,0.0,0.784,0.216,    Not arguing the vax and booster,Mention,Female,False
4,Positive,0.0892857142857142,False,0.7076719576719577,963508033,0.7603,738392410288447488,1475615461882699780,0.054,0.769,0.177," Pretty sure that’s how my family got it. We took my daughter to the ER for a kidney infection and got sick 5 days later. My only exposure. Triple vaxed and wore a well fitting kn95. They weren’t separating covid and non covid in waiting room and it’s TX, so some masks on chins.",Mention,Female,False
5,Neutral,0.0,False,0.0,432481412,0.0,738392410288447488,1475614607758790656,0.0,1.0,0.0, https://t.co/QWbkPhCFtK,Mention,Female,False
6,Negative,-0.2499999999999999,False,0.4333333333333333,966740329041772544,-0.7003,738392410288447488,1475613670184873987,0.106,0.87,0.024,"  In Alberta 🇨🇦, you make appts &amp; go to a testing site. You are legally required to stay in your car until they phone you &amp; you're not allowed to touch anything, incl doorknobs. 

Problem is, it's a 45 min drive to the closest testing sites. So if you don't have a car, too bad.",Mention,Female,False
7,Neutral,0.0,False,0.0,1437241588552388611,0.3182,738392410288447488,1475613167216513024,0.0,0.635,0.365,   link please?,Mention,Female,False
8,Positive,0.06005291005291,False,0.4415343915343915,1346223878780166147,-0.5994,738392410288447488,1475612396941156352,0.094,0.87,0.037," And this is how we treat our practice pandemic. Wait till we get a virus that’s as transmissible as omicron but as fatal as SARS (World Health Organization: 15% general, 50% for elderly vs .9% for Covid19). We get that right, or ‘we all fall down’.",Mention,Female,False
9,Positive,0.1,False,0.4,818997400672997376,0.3612,738392410288447488,1475611512488316930,0.117,0.721,0.162,"     Character limitations sucks on Twitter.  That’s it from me. We are vaxxed, boosted, and masked.  Being as cautious and safe as can be…",Mention,Female,False
10,Positive,0.0297619047619047,False,0.2130952380952381,818997400672997376,0.3818,738392410288447488,1475611191535939584,0.0,0.945,0.055,"     Ya’all. the deal- IMHO.  We cannot rely on our fellow Americans to do the right thing. We can, however, ensure all Americans have equal access-testing, tracing, masks without economic-impact to those less financially equipped. It takes a village- &amp;the village deserves leadership",Mention,Female,False
